('baseline_no_udp', '20', Decimal('6.390986'), '600Kbps')
('baseline_udp', '20', Decimal('8.900453'), '600Kbps')
('frr_no_udp', '20', Decimal('2.948773'), '600Kbps')
('frr', '20', Decimal('3.091626'), '600Kbps')
('baseline_no_udp', '80', Decimal('6.390986'), '600Kbps')
('baseline_udp', '80', Decimal('8.900453'), '600Kbps')
('frr_no_udp', '80', Decimal('3.263813'), '600Kbps')
('frr', '80', Decimal('4.438213'), '600Kbps')
('baseline_no_udp', '60', Decimal('6.390986'), '600Kbps')
('baseline_udp', '60', Decimal('8.900453'), '600Kbps')
('frr_no_udp', '60', Decimal('3.236239'), '600Kbps')
('frr', '60', Decimal('5.426933'), '600Kbps')
('baseline_no_udp', '99', Decimal('6.390986'), '600Kbps')
('baseline_udp', '99', Decimal('8.900453'), '600Kbps')
('frr_no_udp', '99', Decimal('6.390986'), '600Kbps')
('frr', '99', Decimal('8.900453'), '600Kbps')
('baseline_no_udp', '40', Decimal('6.390986'), '600Kbps')
('baseline_udp', '40', Decimal('8.900453'), '600Kbps')
('frr_no_udp', '40', Decimal('3.022399'), '600Kbps')
('frr', '40', Decimal('4.931786'), '600Kbps')
('baseline_no_udp', '20', Decimal('6.390986'), '200Kbps')
('baseline_udp', '20', Decimal('8.900453'), '200Kbps')
('frr_no_udp', '20', Decimal('3.666266'), '200Kbps')
('frr', '20', Decimal('5.896239'), '200Kbps')
('baseline_no_udp', '80', Decimal('6.390986'), '200Kbps')
('baseline_udp', '80', Decimal('8.900453'), '200Kbps')
('frr_no_udp', '80', Decimal('3.780079'), '200Kbps')
('frr', '80', Decimal('6.534879'), '200Kbps')
('baseline_no_udp', '60', Decimal('6.390986'), '200Kbps')
('baseline_udp', '60', Decimal('8.900453'), '200Kbps')
('frr_no_udp', '60', Decimal('3.751333'), '200Kbps')
('frr', '60', Decimal('6.023146'), '200Kbps')
('baseline_no_udp', '99', Decimal('6.390986'), '200Kbps')
('baseline_udp', '99', Decimal('8.900453'), '200Kbps')
('frr_no_udp', '99', Decimal('6.390986'), '200Kbps')
('frr', '99', Decimal('8.900453'), '200Kbps')
('baseline_no_udp', '40', Decimal('6.390986'), '200Kbps')
('baseline_udp', '40', Decimal('8.900453'), '200Kbps')
('frr_no_udp', '40', Decimal('6.108559'), '200Kbps')
('frr', '40', Decimal('7.952719'), '200Kbps')
('baseline_no_udp', '20', Decimal('6.390986'), '1000Kbps')
('baseline_udp', '20', Decimal('8.900453'), '1000Kbps')
('frr_no_udp', '20', Decimal('2.817066'), '1000Kbps')
('frr', '20', Decimal('5.015125'), '1000Kbps')
('baseline_no_udp', '80', Decimal('6.390986'), '1000Kbps')
('baseline_udp', '80', Decimal('8.900453'), '1000Kbps')
('frr_no_udp', '80', Decimal('3.104533'), '1000Kbps')
('frr', '80', Decimal('5.043573'), '1000Kbps')
('baseline_no_udp', '60', Decimal('6.390986'), '1000Kbps')
('baseline_udp', '60', Decimal('8.900453'), '1000Kbps')
('frr_no_udp', '60', Decimal('3.047039'), '1000Kbps')
('frr', '60', Decimal('4.745221'), '1000Kbps')
('baseline_no_udp', '99', Decimal('6.390986'), '1000Kbps')
('baseline_udp', '99', Decimal('8.900453'), '1000Kbps')
('frr_no_udp', '99', Decimal('6.390986'), '1000Kbps')
('frr', '99', Decimal('8.900453'), '1000Kbps')
('baseline_no_udp', '40', Decimal('6.390986'), '1000Kbps')
('baseline_udp', '40', Decimal('8.900453'), '1000Kbps')
('frr_no_udp', '40', Decimal('2.903306'), '1000Kbps')
('frr', '40', Decimal('4.245994'), '1000Kbps')
('baseline_no_udp', '20', Decimal('6.390986'), '400Kbps')
('baseline_udp', '20', Decimal('8.900453'), '400Kbps')
('frr_no_udp', '20', Decimal('3.076373'), '400Kbps')
('frr', '20', Decimal('4.464826'), '400Kbps')
('baseline_no_udp', '80', Decimal('6.390986'), '400Kbps')
('baseline_udp', '80', Decimal('8.900453'), '400Kbps')
('frr_no_udp', '80', Decimal('2.963146'), '400Kbps')
('frr', '80', Decimal('4.420373'), '400Kbps')
('baseline_no_udp', '60', Decimal('6.390986'), '400Kbps')
('baseline_udp', '60', Decimal('8.900453'), '400Kbps')
('frr_no_udp', '60', Decimal('2.882919'), '400Kbps')
('frr', '60', Decimal('4.140639'), '400Kbps')
('baseline_no_udp', '99', Decimal('6.390986'), '400Kbps')
('baseline_udp', '99', Decimal('8.900453'), '400Kbps')
('frr_no_udp', '99', Decimal('6.390986'), '400Kbps')
('frr', '99', Decimal('8.900453'), '400Kbps')
('baseline_no_udp', '40', Decimal('6.390986'), '400Kbps')
('baseline_udp', '40', Decimal('8.900453'), '400Kbps')
('frr_no_udp', '40', Decimal('3.075786'), '400Kbps')
('frr', '40', Decimal('5.853919'), '400Kbps')
('baseline_no_udp', '20', Decimal('6.390986'), '800Kbps')
('baseline_udp', '20', Decimal('8.900453'), '800Kbps')
('frr_no_udp', '20', Decimal('2.946426'), '800Kbps')
('frr', '20', Decimal('3.501319'), '800Kbps')
('baseline_no_udp', '80', Decimal('6.390986'), '800Kbps')
('baseline_udp', '80', Decimal('8.900453'), '800Kbps')
('frr_no_udp', '80', Decimal('3.262639'), '800Kbps')
('frr', '80', Decimal('4.251466'), '800Kbps')
('baseline_no_udp', '60', Decimal('6.390986'), '800Kbps')
