('baseline_no_udp', '20', Decimal('4.498560'), '400Kbps')
('baseline_udp', '20', Decimal('7.749120'), '400Kbps')
('frr_no_udp', '20', Decimal('4.498560'), '400Kbps')
('frr', '20', Decimal('7.749120'), '400Kbps')
('baseline_no_udp', '40', Decimal('4.498560'), '400Kbps')
('baseline_udp', '40', Decimal('7.749120'), '400Kbps')
('frr_no_udp', '40', Decimal('4.498560'), '400Kbps')
('frr', '40', Decimal('7.749120'), '400Kbps')
('baseline_no_udp', '60', Decimal('4.498560'), '400Kbps')
('baseline_udp', '60', Decimal('7.749120'), '400Kbps')
('frr_no_udp', '60', Decimal('4.498560'), '400Kbps')
('frr', '60', Decimal('7.749120'), '400Kbps')
('baseline_no_udp', '80', Decimal('4.498560'), '400Kbps')
('baseline_udp', '80', Decimal('7.749120'), '400Kbps')
('frr_no_udp', '80', Decimal('4.498560'), '400Kbps')
('frr', '80', Decimal('7.749120'), '400Kbps')
('baseline_no_udp', '20', Decimal('4.514769'), '325Kbps')
('baseline_udp', '20', Decimal('7.812713'), '325Kbps')
('frr_no_udp', '20', Decimal('4.514769'), '325Kbps')
('frr', '20', Decimal('7.812713'), '325Kbps')
('baseline_no_udp', '40', Decimal('4.514769'), '325Kbps')
('baseline_udp', '40', Decimal('7.812713'), '325Kbps')
('frr_no_udp', '40', Decimal('4.514769'), '325Kbps')
('frr', '40', Decimal('7.812713'), '325Kbps')
('baseline_no_udp', '60', Decimal('4.514769'), '325Kbps')
('baseline_udp', '60', Decimal('7.812713'), '325Kbps')
('frr_no_udp', '60', Decimal('4.514769'), '325Kbps')
('frr', '60', Decimal('7.812713'), '325Kbps')
('baseline_no_udp', '80', Decimal('4.514769'), '325Kbps')
('baseline_udp', '80', Decimal('7.812713'), '325Kbps')
('frr_no_udp', '80', Decimal('4.514769'), '325Kbps')
('frr', '80', Decimal('7.812713'), '325Kbps')
('baseline_no_udp', '20', Decimal('4.530487'), '275Kbps')
('baseline_udp', '20', Decimal('7.868792'), '275Kbps')
('frr_no_udp', '20', Decimal('4.530487'), '275Kbps')
('frr', '20', Decimal('7.681229'), '275Kbps')
('baseline_no_udp', '40', Decimal('4.530487'), '275Kbps')
('baseline_udp', '40', Decimal('7.868792'), '275Kbps')
('frr_no_udp', '40', Decimal('4.530487'), '275Kbps')
('frr', '40', Decimal('8.042378'), '275Kbps')
('baseline_no_udp', '60', Decimal('4.530487'), '275Kbps')
('baseline_udp', '60', Decimal('7.868792'), '275Kbps')
('frr_no_udp', '60', Decimal('4.530487'), '275Kbps')
('frr', '60', Decimal('7.868792'), '275Kbps')
('baseline_no_udp', '80', Decimal('4.530487'), '275Kbps')
('baseline_udp', '80', Decimal('7.868792'), '275Kbps')
('frr_no_udp', '80', Decimal('4.530487'), '275Kbps')
('frr', '80', Decimal('7.868792'), '275Kbps')
('baseline_no_udp', '20', Decimal('4.568800'), '200Kbps')
('baseline_udp', '20', Decimal('9.004546'), '200Kbps')
('frr_no_udp', '20', Decimal('4.568800'), '200Kbps')
('frr', '20', Decimal('7.769760'), '200Kbps')
('baseline_no_udp', '40', Decimal('4.568800'), '200Kbps')
('baseline_udp', '40', Decimal('9.004546'), '200Kbps')
('frr_no_udp', '40', Decimal('4.568800'), '200Kbps')
('frr', '40', Decimal('8.470560'), '200Kbps')
('baseline_no_udp', '60', Decimal('4.568800'), '200Kbps')
('baseline_udp', '60', Decimal('9.004546'), '200Kbps')
('frr_no_udp', '60', Decimal('4.568800'), '200Kbps')
('frr', '60', Decimal('8.454546'), '200Kbps')
('baseline_no_udp', '80', Decimal('4.568800'), '200Kbps')
('baseline_udp', '80', Decimal('9.004546'), '200Kbps')
('frr_no_udp', '80', Decimal('4.568800'), '200Kbps')
('frr', '80', Decimal('6.862720'), '200Kbps')
('baseline_no_udp', '20', Decimal('4.508594'), '350Kbps')
('baseline_udp', '20', Decimal('7.804548'), '350Kbps')
('frr_no_udp', '20', Decimal('4.508594'), '350Kbps')
('frr', '20', Decimal('7.804548'), '350Kbps')
('baseline_no_udp', '40', Decimal('4.508594'), '350Kbps')
('baseline_udp', '40', Decimal('7.804548'), '350Kbps')
('frr_no_udp', '40', Decimal('4.508594'), '350Kbps')
('frr', '40', Decimal('7.804548'), '350Kbps')
('baseline_no_udp', '60', Decimal('4.508594'), '350Kbps')
('baseline_udp', '60', Decimal('7.804548'), '350Kbps')
