('baseline_no_udp', '20', Decimal('6.390986'), '20ms')
('baseline_udp', '20', Decimal('8.900453'), '20ms')
('frr_no_udp', '20', Decimal('2.948773'), '20ms')
('frr', '20', Decimal('3.091626'), '20ms')
('baseline_no_udp', '80', Decimal('6.390986'), '20ms')
('baseline_udp', '80', Decimal('8.900453'), '20ms')
('frr_no_udp', '80', Decimal('3.263813'), '20ms')
('frr', '80', Decimal('4.438213'), '20ms')
('baseline_no_udp', '60', Decimal('6.390986'), '20ms')
('baseline_udp', '60', Decimal('8.900453'), '20ms')
('frr_no_udp', '60', Decimal('3.236239'), '20ms')
('frr', '60', Decimal('5.426933'), '20ms')
('baseline_no_udp', '99', Decimal('6.390986'), '20ms')
('baseline_udp', '99', Decimal('8.900453'), '20ms')
('frr_no_udp', '99', Decimal('6.390986'), '20ms')
('frr', '99', Decimal('8.900453'), '20ms')
('baseline_no_udp', '40', Decimal('6.390986'), '20ms')
('baseline_udp', '40', Decimal('8.900453'), '20ms')
('frr_no_udp', '40', Decimal('3.022399'), '20ms')
('frr', '40', Decimal('4.931786'), '20ms')
('baseline_no_udp', '20', Decimal('5.960079'), '100ms')
('baseline_udp', '20', Decimal('8.814053'), '100ms')
('frr_no_udp', '20', Decimal('5.328293'), '100ms')
('frr', '20', Decimal('5.480079'), '100ms')
('baseline_no_udp', '80', Decimal('5.960079'), '100ms')
('baseline_udp', '80', Decimal('8.814053'), '100ms')
('frr_no_udp', '80', Decimal('6.290719'), '100ms')
('frr', '80', Decimal('8.015546'), '100ms')
('baseline_no_udp', '60', Decimal('5.960079'), '100ms')
('baseline_udp', '60', Decimal('8.814053'), '100ms')
('frr_no_udp', '60', Decimal('6.693119'), '100ms')
('frr', '60', Decimal('7.901839'), '100ms')
('baseline_no_udp', '99', Decimal('5.960079'), '100ms')
('baseline_udp', '99', Decimal('8.814053'), '100ms')
('frr_no_udp', '99', Decimal('5.960079'), '100ms')
('frr', '99', Decimal('8.814053'), '100ms')
('baseline_no_udp', '40', Decimal('5.960079'), '100ms')
('baseline_udp', '40', Decimal('8.814053'), '100ms')
('frr_no_udp', '40', Decimal('6.420666'), '100ms')
('frr', '40', Decimal('6.970586'), '100ms')
('baseline_no_udp', '20', Decimal('6.506596'), '2ms')
('baseline_udp', '20', Decimal('8.440879'), '2ms')
('frr_no_udp', '20', Decimal('2.440613'), '2ms')
('frr', '20', Decimal('2.819733'), '2ms')
('baseline_no_udp', '80', Decimal('6.506596'), '2ms')
('baseline_udp', '80', Decimal('8.440879'), '2ms')
('frr_no_udp', '80', Decimal('2.276026'), '2ms')
('frr', '80', Decimal('2.468293'), '2ms')
('baseline_no_udp', '60', Decimal('6.506596'), '2ms')
('baseline_udp', '60', Decimal('8.440879'), '2ms')
('frr_no_udp', '60', Decimal('2.584346'), '2ms')
('frr', '60', Decimal('3.662106'), '2ms')
('baseline_no_udp', '99', Decimal('6.506596'), '2ms')
('baseline_udp', '99', Decimal('8.440879'), '2ms')
('frr_no_udp', '99', Decimal('6.506596'), '2ms')
('frr', '99', Decimal('8.440879'), '2ms')
('baseline_no_udp', '40', Decimal('6.506596'), '2ms')
('baseline_udp', '40', Decimal('8.440879'), '2ms')
('frr_no_udp', '40', Decimal('2.541226'), '2ms')
('frr', '40', Decimal('3.209306'), '2ms')
