('baseline_no_udp', '20', Decimal('4.521973'), '40ms')
('baseline_udp', '20', Decimal('8.540880'), '40ms')
('frr_no_udp', '20', Decimal('4.521973'), '40ms')
('frr', '20', Decimal('8.540880'), '40ms')
('baseline_no_udp', '40', Decimal('4.521973'), '40ms')
('baseline_udp', '40', Decimal('8.540880'), '40ms')
('frr_no_udp', '40', Decimal('4.521973'), '40ms')
('frr', '40', Decimal('8.540880'), '40ms')
('baseline_no_udp', '60', Decimal('4.521973'), '40ms')
('baseline_udp', '60', Decimal('8.540880'), '40ms')
('frr_no_udp', '60', Decimal('4.521973'), '40ms')
('frr', '60', Decimal('8.540880'), '40ms')
('baseline_no_udp', '80', Decimal('4.521973'), '40ms')
('baseline_udp', '80', Decimal('8.540880'), '40ms')
('frr_no_udp', '80', Decimal('4.521973'), '40ms')
('frr', '80', Decimal('8.540880'), '40ms')
('baseline_no_udp', '20', Decimal('4.521973'), '20ms')
('baseline_udp', '20', Decimal('8.540880'), '20ms')
('frr_no_udp', '20', Decimal('4.521973'), '20ms')
('frr', '20', Decimal('8.540880'), '20ms')
('baseline_no_udp', '40', Decimal('4.521973'), '20ms')
('baseline_udp', '40', Decimal('8.540880'), '20ms')
('frr_no_udp', '40', Decimal('4.521973'), '20ms')
('frr', '40', Decimal('8.540880'), '20ms')
('baseline_no_udp', '60', Decimal('4.521973'), '20ms')
('baseline_udp', '60', Decimal('8.540880'), '20ms')
('frr_no_udp', '60', Decimal('4.521973'), '20ms')
('frr', '60', Decimal('8.540880'), '20ms')
('baseline_no_udp', '80', Decimal('4.521973'), '20ms')
('baseline_udp', '80', Decimal('8.540880'), '20ms')
('frr_no_udp', '80', Decimal('4.521973'), '20ms')
('frr', '80', Decimal('8.540880'), '20ms')
('baseline_no_udp', '20', Decimal('4.521973'), '30ms')
('baseline_udp', '20', Decimal('8.540880'), '30ms')
('frr_no_udp', '20', Decimal('4.521973'), '30ms')
('frr', '20', Decimal('8.540880'), '30ms')
('baseline_no_udp', '40', Decimal('4.521973'), '30ms')
('baseline_udp', '40', Decimal('8.540880'), '30ms')
('frr_no_udp', '40', Decimal('4.521973'), '30ms')
('frr', '40', Decimal('8.540880'), '30ms')
('baseline_no_udp', '60', Decimal('4.521973'), '30ms')
('baseline_udp', '60', Decimal('8.540880'), '30ms')
('frr_no_udp', '60', Decimal('4.521973'), '30ms')
('frr', '60', Decimal('8.540880'), '30ms')
('baseline_no_udp', '80', Decimal('4.521973'), '30ms')
('baseline_udp', '80', Decimal('8.540880'), '30ms')
('frr_no_udp', '80', Decimal('4.521973'), '30ms')
('frr', '80', Decimal('8.540880'), '30ms')
('baseline_no_udp', '20', Decimal('4.521973'), '0ms')
('baseline_udp', '20', Decimal('8.540880'), '0ms')
('frr_no_udp', '20', Decimal('4.521973'), '0ms')
('frr', '20', Decimal('8.540880'), '0ms')
('baseline_no_udp', '40', Decimal('4.521973'), '0ms')
('baseline_udp', '40', Decimal('8.540880'), '0ms')
('frr_no_udp', '40', Decimal('4.521973'), '0ms')
('frr', '40', Decimal('8.540880'), '0ms')
('baseline_no_udp', '60', Decimal('4.521973'), '0ms')
('baseline_udp', '60', Decimal('8.540880'), '0ms')
('frr_no_udp', '60', Decimal('4.521973'), '0ms')
('frr', '60', Decimal('8.540880'), '0ms')
('baseline_no_udp', '80', Decimal('4.521973'), '0ms')
('baseline_udp', '80', Decimal('8.540880'), '0ms')
('frr_no_udp', '80', Decimal('4.521973'), '0ms')
('frr', '80', Decimal('8.540880'), '0ms')
('baseline_no_udp', '20', Decimal('4.521973'), '100ms')
('baseline_udp', '20', Decimal('8.540880'), '100ms')
('frr_no_udp', '20', Decimal('4.521973'), '100ms')
('frr', '20', Decimal('8.540880'), '100ms')
('baseline_no_udp', '40', Decimal('4.521973'), '100ms')
('baseline_udp', '40', Decimal('8.540880'), '100ms')
('frr_no_udp', '40', Decimal('4.521973'), '100ms')
('frr', '40', Decimal('8.540880'), '100ms')
('baseline_no_udp', '60', Decimal('4.521973'), '100ms')
('baseline_udp', '60', Decimal('8.540880'), '100ms')
('frr_no_udp', '60', Decimal('4.521973'), '100ms')
('frr', '60', Decimal('8.540880'), '100ms')
('baseline_no_udp', '80', Decimal('4.521973'), '100ms')
('baseline_udp', '80', Decimal('8.540880'), '100ms')
('frr_no_udp', '80', Decimal('4.521973'), '100ms')
('frr', '80', Decimal('8.540880'), '100ms')
('baseline_no_udp', '20', Decimal('4.521973'), '60ms')
('baseline_udp', '20', Decimal('8.540880'), '60ms')
('frr_no_udp', '20', Decimal('4.521973'), '60ms')
('frr', '20', Decimal('8.540880'), '60ms')
('baseline_no_udp', '40', Decimal('4.521973'), '60ms')
('baseline_udp', '40', Decimal('8.540880'), '60ms')
('frr_no_udp', '40', Decimal('4.521973'), '60ms')
('frr', '40', Decimal('8.540880'), '60ms')
