('baseline_no_udp', '20', Decimal('4.121413'), '40ms')
('baseline_udp', '20', Decimal('10.043066'), '40ms')
('frr_no_udp', '20', Decimal('4.121413'), '40ms')
('frr', '20', Decimal('10.043066'), '40ms')
('baseline_no_udp', '40', Decimal('4.121413'), '40ms')
('baseline_udp', '40', Decimal('10.043066'), '40ms')
('frr_no_udp', '40', Decimal('4.121413'), '40ms')
('frr', '40', Decimal('10.043066'), '40ms')
('baseline_no_udp', '60', Decimal('4.121413'), '40ms')
('baseline_udp', '60', Decimal('10.043066'), '40ms')
('frr_no_udp', '60', Decimal('4.121413'), '40ms')
('frr', '60', Decimal('10.043066'), '40ms')
('baseline_no_udp', '80', Decimal('4.121413'), '40ms')
('baseline_udp', '80', Decimal('10.043066'), '40ms')
('frr_no_udp', '80', Decimal('4.121413'), '40ms')
('frr', '80', Decimal('10.043066'), '40ms')
('baseline_no_udp', '20', Decimal('4.521973'), '20ms')
('baseline_udp', '20', Decimal('8.540880'), '20ms')
('frr_no_udp', '20', Decimal('4.521973'), '20ms')
('frr', '20', Decimal('8.540880'), '20ms')
('baseline_no_udp', '40', Decimal('4.521973'), '20ms')
('baseline_udp', '40', Decimal('8.540880'), '20ms')
('frr_no_udp', '40', Decimal('4.521973'), '20ms')
('frr', '40', Decimal('8.540880'), '20ms')
('baseline_no_udp', '60', Decimal('4.521973'), '20ms')
('baseline_udp', '60', Decimal('8.540880'), '20ms')
('frr_no_udp', '60', Decimal('4.521973'), '20ms')
('frr', '60', Decimal('8.540880'), '20ms')
('baseline_no_udp', '80', Decimal('4.521973'), '20ms')
('baseline_udp', '80', Decimal('8.540880'), '20ms')
('frr_no_udp', '80', Decimal('4.521973'), '20ms')
('frr', '80', Decimal('8.540880'), '20ms')
('baseline_no_udp', '20', Decimal('4.601973'), '30ms')
('baseline_udp', '20', Decimal('8.470299'), '30ms')
('frr_no_udp', '20', Decimal('4.601973'), '30ms')
('frr', '20', Decimal('8.470299'), '30ms')
('baseline_no_udp', '40', Decimal('4.601973'), '30ms')
('baseline_udp', '40', Decimal('8.470299'), '30ms')
('frr_no_udp', '40', Decimal('4.601973'), '30ms')
('frr', '40', Decimal('8.470299'), '30ms')
('baseline_no_udp', '60', Decimal('4.601973'), '30ms')
('baseline_udp', '60', Decimal('8.470299'), '30ms')
('frr_no_udp', '60', Decimal('4.601973'), '30ms')
('frr', '60', Decimal('8.470299'), '30ms')
('baseline_no_udp', '80', Decimal('4.601973'), '30ms')
('baseline_udp', '80', Decimal('8.470299'), '30ms')
('frr_no_udp', '80', Decimal('4.601973'), '30ms')
('frr', '80', Decimal('8.470299'), '30ms')
('baseline_no_udp', '20', Decimal('4.318853'), '0ms')
('baseline_udp', '20', Decimal('7.112480'), '0ms')
('frr_no_udp', '20', Decimal('4.318853'), '0ms')
('frr', '20', Decimal('7.112480'), '0ms')
('baseline_no_udp', '40', Decimal('4.318853'), '0ms')
('baseline_udp', '40', Decimal('7.112480'), '0ms')
('frr_no_udp', '40', Decimal('4.318853'), '0ms')
('frr', '40', Decimal('7.112480'), '0ms')
('baseline_no_udp', '60', Decimal('4.318853'), '0ms')
('baseline_udp', '60', Decimal('7.112480'), '0ms')
('frr_no_udp', '60', Decimal('4.318853'), '0ms')
('frr', '60', Decimal('7.112480'), '0ms')
('baseline_no_udp', '80', Decimal('4.318853'), '0ms')
('baseline_udp', '80', Decimal('7.112480'), '0ms')
